nfl_player_id,nfl_last_name,nfl_player_name,nfl_full_name,nfl_first_name,nfl_position,first_season,nfl_height,nfl_weight,nfl_forty,nfl_bench,nfl_vertical,nfl_broad_jump,nfl_cone,nfl_shuttle,epa_per_play_career,target_share_career,ppr_points_career,ppr_ppg_career,epa_per_play_year_1,target_share_year_1,ppr_points_year_1,ppr_ppg_year_1,epa_per_play_year_2,target_share_year_2,ppr_points_year_2,ppr_ppg_year_2,epa_per_play_first_2,target_share_first_2,ppr_points_first_2,ppr_ppg_first_2,epa_per_play_first_3,target_share_first_3,ppr_points_first_3,ppr_ppg_first_3,epa_per_play_first_4,target_share_first_4,ppr_points_first_4,ppr_ppg_first_4,top_5_finishes,top_12_finishes,top_24_finishes,top_36_finishes
00-0038794,McLaughlin,J.McLaughlin,Jaleel McLaughlin,Jaleel,RB,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0.08089887640449438,105.39999999999999,4.65,0,0.08089887640449438,105.39999999999999,4.65,NA,NA,NA,NA,0,0.08089887640449438,105.39999999999999,4.65,0,0.08089887640449438,105.39999999999999,4.65,0,0.08089887640449438,105.39999999999999,4.65,0,0,0,0
00-0038797,Wilson,E.Wilson,Emanuel Wilson,Emanuel,RB,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00945179584120983,14.8,2.16,0,0.00945179584120983,14.8,2.16,NA,NA,NA,NA,0,0.00945179584120983,14.8,2.16,0,0.00945179584120983,14.8,2.16,0,0.00945179584120983,14.8,2.16,NA,NA,NA,NA
00-0038805,Johnson,NA,Cephus Johnson III,Cephus,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038806,Knowles,NA,Malik Knowles,Malik,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038809,Sims,B.Sims,Ben Sims,Ben,TE,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0.011342155009451797,12.1,1.3499999999999999,0,0.011342155009451797,12.1,1.3499999999999999,NA,NA,NA,NA,0,0.011342155009451797,12.1,1.3499999999999999,0,0.011342155009451797,12.1,1.3499999999999999,0,0.011342155009451797,12.1,1.3499999999999999,NA,NA,NA,NA
00-0038810,Thomas,NA,Thayer Thomas,Thayer,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038814,Barber,NA,Taye Barber,Taye,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038816,Brown,NA,Ronnie Brown,Ronnie,RB,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038821,Jarrett,R.Jarrett,Rakim Jarrett,Rakim,WR,2023,6-0,192,4.44,13,35.5,123,NA,NA,0,0.017341040462427744,10,1.0000000000000002,0,0.017341040462427744,10,1.0000000000000002,NA,NA,NA,NA,0,0.017341040462427744,10,1.0000000000000002,0,0.017341040462427744,10,1.0000000000000002,0,0.017341040462427744,10,1.0000000000000002,NA,NA,NA,NA
00-0038824,Miller,NA,Ryan Miller,Ryan,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038828,Taula,NA,Tanner Taula,Tanner,TE,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038829,Warner,NA,Kade Warner,Kade,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038830,Allen,NA,Kazmeir Allen,Kazmeir,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038831,Bowens,NA,Zion Bowens,Zion,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038839,Tinsley,NA,Mitchell Tinsley,Mitchell,WR,2023,6-0,199,4.6,14,35.5,120,NA,4.21,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038840,Tremayne,NA,Brycen Tremayne,Brycen,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038843,Copeland,NA,Jacob Copeland,Jacob,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038844,Harrison,NA,Tre'Shaun Harrison,Tre'Shaun,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
00-0038860,Bynum,NA,Terrell Bynum,Terrell,WR,2023,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
