year,week,down,clock_minutes,half_clock.minutes,pos_team,def_pos_team,wp_before,def_wp_before,pass,rush,xp,name,conference,team_id,color,logo
2024,1,4,5,5,Nevada,SMU,0.4445795,0.5554205,0,1,0.6781370639801025,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,1,5,5,SMU,Nevada,0.6335607,0.3664393,1,0,0.4899771213531494,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,1,5,5,SMU,Nevada,0.6777727,0.3222273,1,0,0.47631990909576416,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,2,5,5,SMU,Nevada,0.6476932,0.3523068,1,0,0.6640394330024719,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,3,5,5,SMU,Nevada,0.6162197,0.3837803,0,1,0.7866539359092712,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,1,4,4,Nevada,SMU,0.3306983,0.6693017,0,1,0.4064623713493347,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,2,4,4,Nevada,SMU,0.3545577,0.6454423,0,1,0.28348594903945923,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,3,2,2,Nevada,SMU,0.4663953,0.5336047,1,0,0.14981110394001007,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,1,2,2,Nevada,SMU,0.5441589,0.4558411,0,1,0.5849186182022095,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,2,2,2,Nevada,SMU,0.5377977,0.4622023,0,1,0.5205105543136597,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,3,2,2,Nevada,SMU,0.5097022,0.4902978,0,1,0.7615854144096375,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,1,2,2,Nevada,SMU,0.5606815,0.4393185,0,1,0.4282452166080475,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,2,2,2,Nevada,SMU,0.553509,0.446491,1,0,0.4431299567222595,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,3,0,0,Nevada,SMU,0.5252832,0.4747168,1,0,0.8881479501724243,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,1,0,0,SMU,Nevada,0.3245078,0.6754922,0,1,0.10881086438894272,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
