athlete_id,player_id,Name,Team,Conference,Eligibility,Year.Out.Of.HS,Recruit.Stars,Height,Weight,Pos
4600603,"Drew Carter, Colorado, QB",Drew Carter,Colorado,Pac-12,2024,1,3,75,195,QB
4613105,"Miles Davis, BYU, RB",Miles Davis,BYU,FBS Independents,2023,2,3,73,202,RB
4249828,"Ethan Bullock, Oklahoma State, QB",Ethan Bullock,Oklahoma State,Big 12,2022,4,3,76,215,QB
4875895,"Drew Zaubi, Western Kentucky, QB",Drew Zaubi,Western Kentucky,Conference USA,2024,1,NA,76,225,QB
4240580,"Max Cooper, Iowa, WR",Max Cooper,Iowa,Big Ten,2022,5,3,72,191,WR
4684173,"O'Mega Blake, South Carolina, WR",O'Mega Blake,South Carolina,SEC,2024,1,3,NA,NA,WR
4373665,"Connor Riddle, Boise State, WR",Connor Riddle,Boise State,Mountain West,2022,3,NA,73,216,WR
4362982,"Jordan Weeks, UT San Antonio, QB",Jordan Weeks,UT San Antonio,Conference USA,2022,4,3,76,225,QB
4710783,"Jeremiah Robinson, Southern Mississippi, WR",Jeremiah Robinson,Southern Mississippi,Conference USA,2024,1,3,72,175,WR
4362614,"Tyler Markray, Kentucky, RB",Tyler Markray,Kentucky,SEC,2022,3,NA,70,220,RB
4432396,"Tucker Melton, Bowling Green, QB",Tucker Melton,Bowling Green,Mid-American,2023,2,3,74,215,QB
4427203,"Deondrick Glass, Oklahoma State, RB",Deondrick Glass,Oklahoma State,Big 12,2022,2,4,71,215,RB
4609049,"Carl Richardson, Northwestern, QB",Carl Richardson,Northwestern,Big Ten,2023,2,3,76,207,QB
4360741,"Dylan Plautz, Stanford, QB",Dylan Plautz,Stanford,Pac-12,2022,4,NA,74,208,QB
4567058,"Leo Kelly, Wake Forest, QB",Leo Kelly,Wake Forest,ACC,2022,3,NA,75,230,QB
4879614,"Blake Bost, Texas A&M, QB",Blake Bost,Texas A&M,SEC,2024,1,NA,NA,NA,QB
4365325,"Colby Suits, Louisiana Monroe, QB",Colby Suits,Louisiana Monroe,Sun Belt,2022,4,3,76,245,QB
4683470,"Chance McDonald, Western Kentucky, QB",Chance McDonald,Western Kentucky,Conference USA,2024,1,3,73,210,QB
4570088,"Connor Genal, New Mexico, QB",Connor Genal,New Mexico,Mountain West,2022,3,NA,77,213,QB
