year,week,down,clock_minutes,pos_team,def_wp_before,pass,rush,name,conference,team_id,color,logo
2022,1,2,6,Vanderbilt,2.37e-5,0,1,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,3,6,Vanderbilt,2.16e-5,0,1,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,1,6,Vanderbilt,1.46e-5,0,1,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,2,3,Vanderbilt,6.6e-6,0,1,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,1,3,Hawai'i,0.9999999,1,0,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,1,3,Hawai'i,0.9999999,1,0,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,2,3,Hawai'i,0.9999999,0,1,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,1,3,Hawai'i,0.9999998,0,1,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,2,3,Hawai'i,0.9999998,0,1,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,3,3,Hawai'i,0.9999999,1,0,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,4,0,Hawai'i,0.999995,1,0,Timmy Chang,Mountain West,62,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
2022,1,1,0,Vanderbilt,1.344e-4,0,1,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,2,0,Vanderbilt,6e-7,0,1,Clark Lea,SEC,238,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
2022,1,1,14,Utah State,0.504867,1,0,Blake Anderson,Mountain West,328,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png
2022,1,1,14,Utah State,0.4245413,0,1,Blake Anderson,Mountain West,328,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png
2022,1,2,13,Utah State,0.4552654,0,1,Blake Anderson,Mountain West,328,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png
2022,1,3,13,Utah State,0.4827214,0,1,Blake Anderson,Mountain West,328,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png
2022,1,1,12,Alabama,0.4560875,0,1,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2022,1,2,12,Alabama,0.4663076,1,0,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2022,1,1,11,Alabama,0.3800207,1,0,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2022,1,1,11,Alabama,0.3505539,1,0,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2022,1,2,10,Alabama,0.3878099,1,0,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2022,1,3,10,Alabama,0.374905,1,0,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2022,1,1,9,Utah State,0.5977163,0,1,Blake Anderson,Mountain West,328,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png
2022,1,2,9,Utah State,0.6298738,1,0,Blake Anderson,Mountain West,328,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png
2022,1,3,9,Utah State,0.6715205,1,0,Blake Anderson,Mountain West,328,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png
2022,1,1,8,Alabama,0.3112869,0,1,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2022,1,2,8,Alabama,0.3406127,1,0,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2022,1,1,7,Alabama,0.2848951,1,0,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2022,1,1,7,Alabama,0.2566061,1,0,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2022,1,1,6,Alabama,0.2189677,1,0,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2022,1,2,6,Alabama,0.2333499,0,1,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2022,1,3,5,Alabama,0.2480455,1,0,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2022,1,1,5,Utah State,0.8279111,1,0,Blake Anderson,Mountain West,328,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png
2022,1,2,5,Utah State,0.8474511,0,1,Blake Anderson,Mountain West,328,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png
2022,1,3,5,Utah State,0.8581555,1,0,Blake Anderson,Mountain West,328,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png
2022,1,4,4,Utah State,0.8569419,1,0,Blake Anderson,Mountain West,328,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png
2022,1,1,4,Alabama,0.0885758,0,1,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2022,1,1,3,Alabama,0.0851591,0,1,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2022,1,2,3,Alabama,0.0927656,1,0,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2022,1,1,2,Utah State,0.9451517,0,1,Blake Anderson,Mountain West,328,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png
2022,1,2,2,Utah State,0.9587393,1,0,Blake Anderson,Mountain West,328,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png
2022,1,3,1,Utah State,0.9531991,1,0,Blake Anderson,Mountain West,328,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png
2022,1,1,1,Alabama,0.0504513,1,0,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2022,1,1,1,Alabama,0.0411701,1,0,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2022,1,1,0,Alabama,0.0351501,0,1,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2022,1,2,0,Alabama,0.0304047,1,0,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2022,1,3,0,Alabama,0.0335627,0,1,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2022,1,1,14,Alabama,0.031253,0,1,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2022,1,1,14,Alabama,0.0293782,0,1,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2022,1,2,13,Alabama,0.0318603,1,0,Nick Saban,SEC,333,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
